2019-03-15 10:25:54,225 | com.altius.automation.Auctionedit |INFO | Central office option is selected successfully
2019-03-15 10:25:55,405 | com.altius.automation.Auctionedit |INFO | Valid UN is passed to the UN field
2019-03-15 10:25:55,772 | com.altius.automation.Auctionedit |INFO | Valid password data is passed to the PW field
2019-03-15 10:26:16,879 | com.altius.automation.Auctionedit |INFO | User able to login with Correct UN  &PW
2019-03-15 10:26:17,343 | com.altius.automation.Auctionedit |INFO | Mouse is successfully hovered on module 'Group and confidential report'
2019-03-15 10:26:19,578 | com.altius.automation.Auctionedit |INFO | Mouse is successfully hovered on screen for new group
2019-03-15 10:26:27,360 | com.altius.automation.Auctionedit |INFO | Mouse is successfully clicked on new group approval screen
2019-03-15 10:26:34,076 | com.altius.automation.Auctionedit |INFO | Chit group is successfully selected
2019-03-15 10:26:39,387 | com.altius.automation.Auctionedit |INFO | load members is clicked successfully
2019-03-15 10:26:44,661 | com.altius.automation.Auctionedit |INFO | Approve button is clicked sucessfully
2019-03-15 10:26:49,414 | com.altius.automation.Auctionedit |INFO | Yes button is clicked sucessfully
2019-03-15 10:27:43,275 | com.altius.automation.Auctionedit |INFO | Central office option is selected successfully
2019-03-15 10:27:44,218 | com.altius.automation.Auctionedit |INFO | Valid UN is passed to the UN field
2019-03-15 10:27:44,802 | com.altius.automation.Auctionedit |INFO | Valid password data is passed to the PW field
2019-03-15 10:28:06,620 | com.altius.automation.Auctionedit |INFO | User able to login with Correct UN  &PW
2019-03-15 10:28:06,911 | com.altius.automation.Auctionedit |INFO | Mouse is successfully hovered on module 'Group and confidential report'
2019-03-15 10:28:09,070 | com.altius.automation.Auctionedit |INFO | Mouse is successfully hovered on screen for new group
2019-03-15 10:28:16,391 | com.altius.automation.Auctionedit |INFO | Mouse is successfully clicked on new group approval screen
2019-03-15 10:28:22,459 | com.altius.automation.Auctionedit |INFO | Chit group is successfully selected
2019-03-15 10:28:27,540 | com.altius.automation.Auctionedit |INFO | load members is clicked successfully
2019-03-15 10:28:32,098 | com.altius.automation.Auctionedit |INFO | Approve button is clicked sucessfully
2019-03-15 10:28:37,032 | com.altius.automation.Auctionedit |INFO | Yes button is clicked sucessfully
2019-03-15 11:20:14,979 | com.altius.automation.Auctionedit |INFO | Central office option is selected successfully
2019-03-15 11:20:16,150 | com.altius.automation.Auctionedit |INFO | Valid UN is passed to the UN field
2019-03-15 11:20:16,653 | com.altius.automation.Auctionedit |INFO | Valid password data is passed to the PW field
2019-03-15 11:20:39,248 | com.altius.automation.Auctionedit |INFO | User able to login with Correct UN  &PW
2019-03-15 11:20:39,555 | com.altius.automation.Auctionedit |INFO | Mouse is successfully hovered on module 'Group and confidential report'
2019-03-15 11:20:41,704 | com.altius.automation.Auctionedit |INFO | Mouse is successfully hovered on for transfer
2019-03-15 11:20:49,174 | com.altius.automation.Auctionedit |INFO | Mouse is successfully clicked on approval screen
2019-03-15 11:20:51,280 | com.altius.automation.Auctionedit |ERROR | Chit group is not successfully selected
2019-03-15 11:20:55,571 | com.altius.automation.Auctionedit |INFO | Branch name is successfully selected
2019-03-15 11:21:20,741 | com.altius.automation.Auctionedit |ERROR | Member name is not successfully selected
2019-03-15 11:21:20,805 | com.altius.automation.Auctionedit |ERROR | No of tokens is not successfully entered
2019-03-15 11:21:21,603 | com.altius.automation.Auctionedit |INFO | Income  is  successfully entered
2019-03-15 11:21:21,658 | com.altius.automation.Auctionedit |ERROR | Money collector is not  selected
2019-03-15 11:21:21,736 | com.altius.automation.Auctionedit |ERROR | Call no of auction is not entered
2019-03-15 11:21:21,814 | com.altius.automation.Auctionedit |ERROR | Call no of auction is not entered
2019-03-15 11:21:21,974 | com.altius.automation.Auctionedit |ERROR | Description is not entered
2019-03-15 11:21:22,277 | com.altius.automation.Auctionedit |ERROR | Suggest button is not clicked
2019-03-15 11:21:24,329 | com.altius.automation.Auctionedit |ERROR | Member is not suggested
2019-03-15 12:01:36,630 | com.altius.automation.Auctionedit |INFO | Central office option is selected successfully
2019-03-15 12:01:37,542 | com.altius.automation.Auctionedit |INFO | Valid UN is passed to the UN field
2019-03-15 12:01:37,909 | com.altius.automation.Auctionedit |INFO | Valid password data is passed to the PW field
2019-03-15 12:01:59,116 | com.altius.automation.Auctionedit |INFO | User able to login with Correct UN  &PW
2019-03-15 12:01:59,431 | com.altius.automation.Auctionedit |INFO | Mouse is successfully hovered on module 'Group and confidential report'
2019-03-15 12:02:01,729 | com.altius.automation.Auctionedit |INFO | Mouse is successfully hovered on for transfer
2019-03-15 12:02:12,175 | com.altius.automation.Auctionedit |INFO | Mouse is successfully clicked on approval screen
2019-03-15 12:02:18,784 | com.altius.automation.Auctionedit |INFO | Chit group is successfully selected
2019-03-15 12:02:23,408 | com.altius.automation.Auctionedit |INFO | Branch name is successfully selected
2019-03-15 12:02:52,491 | com.altius.automation.Auctionedit |INFO | Old Member name is successfully selected
2019-03-15 12:02:56,278 | com.altius.automation.Auctionedit |INFO | New  Member name is successfully selected
2019-03-15 12:02:56,644 | com.altius.automation.Auctionedit |INFO | Kasar amount is  successfully entered
2019-03-15 12:02:57,070 | com.altius.automation.Auctionedit |INFO | Transfer amount is  successfully entered
2019-03-15 12:02:57,520 | com.altius.automation.Auctionedit |INFO | Income  is  successfully entered
2019-03-15 12:02:57,900 | com.altius.automation.Auctionedit |INFO | Commission  is  successfully entered
2019-03-15 12:02:58,081 | com.altius.automation.Auctionedit |INFO | Estimated call number  is  successfully entered
2019-03-15 12:02:58,459 | com.altius.automation.Auctionedit |INFO | Transfer date  is  successfully entered
2019-03-15 12:02:58,987 | com.altius.automation.Auctionedit |INFO | Reason for trnsfer  is  successfully entered
2019-03-15 12:03:00,150 | com.altius.automation.Auctionedit |INFO | Surety details is entered successfully
2019-03-15 12:03:03,988 | com.altius.automation.Auctionedit |INFO | Money collector is successfully selected
2019-03-15 12:03:05,155 | com.altius.automation.Auctionedit |INFO | Profession bussiness is successfully entered
2019-03-15 12:03:10,681 | com.altius.automation.Auctionedit |INFO | Tansfer is successfully entered
2019-03-15 12:03:11,012 | com.altius.automation.Auctionedit |ERROR | Suggest button is not clicked
2019-03-15 12:03:13,389 | com.altius.automation.Auctionedit |INFO | Member is not suggested
2019-03-15 12:10:02,905 | com.altius.automation.Auctionedit |INFO | Central office option is selected successfully
2019-03-15 12:10:10,035 | com.altius.automation.Auctionedit |INFO | Valid UN is passed to the UN field
2019-03-15 12:10:10,491 | com.altius.automation.Auctionedit |INFO | Valid password data is passed to the PW field
2019-03-15 12:10:33,387 | com.altius.automation.Auctionedit |INFO | User able to login with Correct UN  &PW
2019-03-15 12:10:34,249 | com.altius.automation.Auctionedit |INFO | Mouse is successfully hovered on module 'Group and confidential report'
2019-03-15 12:10:36,483 | com.altius.automation.Auctionedit |INFO | Mouse is successfully hovered on for transfer
2019-03-15 12:10:44,795 | com.altius.automation.Auctionedit |INFO | Mouse is successfully clicked on approval screen
2019-03-15 12:10:51,123 | com.altius.automation.Auctionedit |INFO | Chit group is successfully selected
2019-03-15 12:10:55,312 | com.altius.automation.Auctionedit |INFO | Branch name is successfully selected
2019-03-15 12:11:24,174 | com.altius.automation.Auctionedit |INFO | Old Member name is successfully selected
2019-03-15 12:11:27,983 | com.altius.automation.Auctionedit |INFO | New  Member name is successfully selected
2019-03-15 12:11:28,376 | com.altius.automation.Auctionedit |INFO | Kasar amount is  successfully entered
2019-03-15 12:11:28,849 | com.altius.automation.Auctionedit |INFO | Transfer amount is  successfully entered
2019-03-15 12:11:29,206 | com.altius.automation.Auctionedit |INFO | Income  is  successfully entered
2019-03-15 12:11:29,574 | com.altius.automation.Auctionedit |INFO | Commission  is  successfully entered
2019-03-15 12:11:29,825 | com.altius.automation.Auctionedit |INFO | Estimated call number  is  successfully entered
2019-03-15 12:11:30,382 | com.altius.automation.Auctionedit |INFO | Transfer date  is  successfully entered
2019-03-15 12:11:31,174 | com.altius.automation.Auctionedit |INFO | Reason for trnsfer  is  successfully entered
2019-03-15 12:11:32,165 | com.altius.automation.Auctionedit |INFO | Surety details is entered successfully
2019-03-15 12:11:36,066 | com.altius.automation.Auctionedit |INFO | Money collector is successfully selected
2019-03-15 12:11:37,151 | com.altius.automation.Auctionedit |INFO | Profession bussiness is successfully entered
2019-03-15 12:11:43,082 | com.altius.automation.Auctionedit |INFO | Tansfer is successfully entered
2019-03-15 12:11:48,316 | com.altius.automation.Auctionedit |INFO | Ok button is clicked successfully
2019-03-15 12:11:50,465 | com.altius.automation.Auctionedit |INFO | Member is not trnsfered
2019-03-15 12:30:48,876 | com.altius.automation.Auctionedit |INFO | Central office option is selected successfully
2019-03-15 12:30:54,933 | com.altius.automation.Auctionedit |INFO | Valid UN is passed to the UN field
2019-03-15 12:30:57,951 | com.altius.automation.Auctionedit |INFO | Valid password data is passed to the PW field
2019-03-15 12:31:21,496 | com.altius.automation.Auctionedit |INFO | User able to login with Correct UN  &PW
2019-03-15 12:31:22,011 | com.altius.automation.Auctionedit |INFO | Mouse is successfully hovered on module 'Group and confidential report'
2019-03-15 12:31:24,260 | com.altius.automation.Auctionedit |INFO | Mouse is successfully hovered on for transfer
2019-03-15 12:31:34,305 | com.altius.automation.Auctionedit |INFO | Mouse is successfully clicked on approval screen
2019-03-15 12:31:43,921 | com.altius.automation.Auctionedit |INFO | Chit group is successfully selected
2019-03-15 12:31:50,545 | com.altius.automation.Auctionedit |ERROR | Branch is not successfully selected
2019-03-15 12:32:17,675 | com.altius.automation.Auctionedit |ERROR | Old Member name is not successfully selected
2019-03-15 12:32:19,985 | com.altius.automation.Auctionedit |ERROR | New Member name is not successfully selected
2019-03-15 12:32:22,113 | com.altius.automation.Auctionedit |ERROR | Kasar amount is not successfully entered
2019-03-15 12:32:24,194 | com.altius.automation.Auctionedit |ERROR | Transfer amount is not successfully entered
2019-03-15 12:32:26,294 | com.altius.automation.Auctionedit |ERROR | Income is not successfully entered
2019-03-15 12:32:28,485 | com.altius.automation.Auctionedit |ERROR | Commision is not successfully entered
2019-03-15 12:32:30,608 | com.altius.automation.Auctionedit |ERROR | Estimated call number is not successfully entered
2019-03-15 12:32:32,826 | com.altius.automation.Auctionedit |ERROR | Transfer date is not successfully entered
2019-03-15 12:32:35,256 | com.altius.automation.Auctionedit |ERROR | Reason for transfer is not successfully entered
2019-03-15 12:32:37,373 | com.altius.automation.Auctionedit |ERROR | Surety detaisl is not entered
2019-03-15 12:32:39,426 | com.altius.automation.Auctionedit |ERROR | Money collector is not  selected
2019-03-15 12:32:41,692 | com.altius.automation.Auctionedit |ERROR | Profession bussiness is not entered
2019-03-15 12:32:43,979 | com.altius.automation.Auctionedit |ERROR | Tansfer is not clicked
2019-03-15 12:32:46,334 | com.altius.automation.Auctionedit |ERROR | Ok button is not clicked
2019-03-15 12:32:50,619 | com.altius.automation.Auctionedit |ERROR | Member is not transfered
2019-03-15 12:34:04,036 | com.altius.automation.Auctionedit |INFO | Central office option is selected successfully
2019-03-15 14:28:38,709 | com.altius.automation.Auctionedit |INFO | Central office option is selected successfully
2019-03-15 14:28:39,630 | com.altius.automation.Auctionedit |INFO | Valid UN is passed to the UN field
2019-03-15 14:28:39,872 | com.altius.automation.Auctionedit |INFO | Valid password data is passed to the PW field
2019-03-15 14:29:04,307 | com.altius.automation.Auctionedit |INFO | User able to login with Correct UN  &PW
2019-03-15 14:29:04,611 | com.altius.automation.Auctionedit |INFO | Mouse is successfully hovered on module 'Group and confidential report'
2019-03-15 14:29:06,938 | com.altius.automation.Auctionedit |INFO | Mouse is successfully hovered on for transfer
2019-03-15 14:29:17,454 | com.altius.automation.Auctionedit |INFO | Mouse is successfully clicked on approval screen
2019-03-15 14:29:23,828 | com.altius.automation.Auctionedit |INFO | Chit group is successfully selected
2019-03-15 14:29:28,033 | com.altius.automation.Auctionedit |INFO | Branch name is successfully selected
2019-03-15 14:29:56,987 | com.altius.automation.Auctionedit |INFO | Old Member name is successfully selected
2019-03-15 14:30:00,619 | com.altius.automation.Auctionedit |INFO | New  Member name is successfully selected
2019-03-15 14:30:00,916 | com.altius.automation.Auctionedit |INFO | Kasar amount is  successfully entered
2019-03-15 14:30:01,257 | com.altius.automation.Auctionedit |INFO | Transfer amount is  successfully entered
2019-03-15 14:30:01,587 | com.altius.automation.Auctionedit |INFO | Income  is  successfully entered
2019-03-15 14:30:01,935 | com.altius.automation.Auctionedit |INFO | Commission  is  successfully entered
2019-03-15 14:30:02,167 | com.altius.automation.Auctionedit |INFO | Estimated call number  is  successfully entered
2019-03-15 14:30:02,599 | com.altius.automation.Auctionedit |INFO | Transfer date  is  successfully entered
